updated_jobtitle,sorted_skills
Relationship manager(equity Dealer),"('broking', 'demat', 'equity advisor', 'equity dealer', 'equity derivatives', 'hni client handling', 'hni dealer', 'nism viii', 'securities', 'share market')"
Required Agency Development Manager Max  Life Insurance,"('afsm', 'agency development manager', 'agency manager', 'agency sales', 'area sales manager', 'banking finance insurance', 'bd', 'bdm', 'business development', 'business development manager', 'business manager', 'channel business', 'channel partner development', 'channel sales', 'direct sales', 'financial consultants', 'financial service manager', 'general insurance', 'health insurance', 'insurance advisor', 'insurance agent', 'insurance manager', 'insurance sales', 'life insurance', 'medical representative', 'relationship manager', 'relationship officer', 'sales', 'sales development manager', 'sales executive', 'sales officer', 'territory sales manager', 'unit manager')"
Required Payroll Manager- Rohini Sector-24 Delhi,"('compliance', 'epf', 'esi processing', 'esic', 'esic challan', 'hr', 'payroll', 'payroll processing', 'salary preparation', 'tic generation')"
Retail / Wholesale Trade Managers  In SINGAPORE & HONG KONG,"('customer service', 'demand', 'market research', 'marketing', 'operations', 'research', 'retail', 'sales', 'wholesale')"
Retail Manager  -CANADA,"('control', 'customer service', 'marketing', 'operations', 'reputation', 'retail', 'retail sales', 'sales', 'store operations')"
Revenue Manager / Assistant Revenue Manager,"('Assistant Front office Manager', 'Channel Manager', 'Front Office manager', 'Front office', 'OTA extranets', 'Online Travel Agent extranets', 'Reservations Manager', 'Revenue Management')"
SALES OFFICER CASA,"('casa', 'current account', 'field work', 'manager', 'officer', 'relationship', 'sales', 'saving account')"
STORE  MANAGER POST UGENT REQUIRED FOR FMCG COMPANY,"('communication skills', 'customer service', 'decision-making', 'leadership skills', 'time management')"
Safety Officer  In AUSTRALIA & HONG KONG,"('safety', 'safety audit', 'safety implementation', 'safety inspection', 'safety management', 'safety officer activities', 'safety training')"
Safety Officer Electrical Mechanical Production Quality Engineer Apply Now,"('civil site engineering', 'electrical engineering', 'electronics engineering', 'mechanical engineering', 'production engineering', 'quality engineering', 'safety officer activities')"
"Safety Supervisor, Safety Officer & Safety Engineer","('fire safety', 'hazard identification', 'safety', 'safety audit', 'safety engineering', 'safety inspection', 'safety management', 'safety officer activities', 'safety supervisor', 'safety training', 'supervisor')"
Sales  Manager  For No 1 Life  insurance comp,"('agency development manager', 'agency manager', 'agency sales', 'amfi', 'area sales manager', 'asm', 'bancassurance', 'bdm', 'business', 'channel sales', 'deputy branch manager', 'development', 'development manager', 'direct sales', 'insurance', 'insurance agent', 'irda', 'life insurance', 'relationship manager', 'relationship officer', 'sales', 'sales development manager', 'sales executive', 'sales manager', 'sales officer', 'unit manager')"
Sales Manager,"(' ', 'Agency Channel', 'Branch Manager', 'Broca channel', 'CRM', 'Client Handling', 'Client servicing', 'Cluster Manager', 'Communication skills', 'Creativity', 'Data analysis', 'Direct Channel', 'Education', 'Fluent in English', 'Fluent in Hindi', 'Franchisee Appointments', 'Internet Marketing', 'IoT', 'M', 'Meeting Sales Goals', 'Motivation for Sales', 'Negotiation', 'O', 'PD', 'Project management', 'Relationship Building', 'Restaurants', 'Robotics', 'S', 'SEO', 'Sales', 'Sales Manager', 'Sales Planning', 'Technology Oriented Areas', 'Web Analytics', 'Webmaster tools', 'account management', 'accounting', 'accounts payable', 'accounts receivable', 'activities', 'agencies', 'agency sales', 'airline', 'analytical thinking', 'attention to details', 'b2c sales', 'banking sales', 'bfsi sales', 'bookings', 'branch', 'business development', 'business development executive', 'c', 'call audit', 'call center management', 'client relationship management', 'cold calling', 'communication', 'communication skills', 'computer competences.', 'construction management', 'corporate', 'creating', 'customer', 'customer service', 'dealer sales', 'decision making', 'demat sales', 'detail-oriented', 'direct sales', 'e', 'effective communication', 'effective team management', 'f', 'farm', 'farm management', 'farmers', 'farmland', 'farms', 'field sales', 'financial sales', 'forecasting skills', 'handling dealers', 'hotel', 'i', 'industry', 'insurance', 'insurance sales', 'international', 'knowledge of spa operations customer service', 'leadership', 'leadership development', 'leadership skills', 'life insurance', 'manage', 'management skills', 'marketing', 'mathematics', 'office', 'operations', 'operations management', 'organizational skills', 'outside sales', 'policies', 'proactive', 'problem solving', 'production', 'products', 'property sales officer', 'quality control', 'quality management', 'quality manager', 'ranch', 'real estate sales', 'reservations', 'sales', 'sales executive', 'sales management', 'sales planning', 'service', 'shift management', 'shift planning', 'stamina', 'strategy deployment', 'supply chain', 'supply chain consulting', 'supply chain engineering', 'supply chain management', 'supply chain management research', 'supply chain operations', 'supply chain optimization', 'supply management', 'supply planning', 'team building', 'team handling', 'team leading', 'team management', 'third-party logistics', 'tickets', 'training management', 'travel', 'troubleshooting')"
Sales Manager - Bancassurance,"('communication skills', 'customer relationship management', 'presentation skills', 'sales', 'selling')"
Sales Manager - Business Loans - Channel - Bhopal - MP Nagar - JM,"('business targets', 'client relationships', 'competitor intelligence', 'compliance', 'cross selling', 'lead generation', 'liaison', 'market trends', 'networking', 'retail loan products', 'sales', 'team management')"
Sales Manager - Real Estate,"('Client Relationship', 'Negotiation', 'Real Estate', 'Sales', 'Team Management', 'cold calling', 'real estate marketing', 'real estate negotiating', 'real estate sales', 'sales', 'sales support')"
Sales Manager / Sr.Sales Manager for High Value LAP cases with a...,"('Connectors', 'DSAs', 'HNI LAP Cases', 'LAP file sourcing', 'Loan against property legal  technical', 'Sales Manager', 'SrSales Manager')"
Sales Manager For Pan India,"('b2c sales', 'banking', 'business development', 'channel sales', 'cold calling', 'corporate sales', 'direct sales', 'retail banking', 'sales', 'team leading', 'upselling')"
Sales Manager Required In Singapore,"('fmcg sales', 'sales', 'sales management', 'sales manager', 'sales operations', 'sales process')"
Sales Manager/Business Development Manager (Agency) Guwahati1,"('Agency Management', 'Business Development', 'Channel Development', 'Compliance', 'Market Segmentation', 'Reconciliation', 'Sales', 'Sales Training')"
Sales manager - On Roll,"('banking', 'bfsi sales', 'casa sales', 'credit card sales', 'field sales', 'finance', 'insurance', 'loans', 'marketing', 'sales')"
Senior Civil Engineer/ Deputy General Manager,"('civil engineering', 'civil project management', 'project coordination')"
Senior Manager (Executive Education),"('Business Acquisition', 'CV Writing', 'Channel Sales', 'Client Acquisition', 'Client Relationships', 'Collections', 'Communication Skills', 'Configuring', 'Consultancy Services', 'Digital Marketing', 'Email Communication', 'Faculty Interaction', 'Industry Connect', 'Interpersonal Skills', 'MDPs', 'MIS', 'MS Office', 'Management Institute', 'Market Research', 'Marketing Partners', 'Online Trainings', 'Photograph', 'Reconciliation', 'Revenue Billing', 'Revenue Numbers', 'Selling', 'Social Media Marketing', 'Training', 'YoY Growth')"
Senior Manager - Learning & Development,"('Coaching', 'Google Docs', 'Google Sheets', 'Induction', 'Learning Management System implementation', 'MS Office', 'NLP', 'Psychology', 'Stakeholder management', 'Training budget management', 'Training evaluation', 'Training needs assessment', 'Training program management', 'Training trends', 'change management', 'communication skills', 'data analysis', 'organizational development', 'organizing', 'orientation', 'performance management', 'project management', 'stakeholder management', 'talent strategy')"
Senior Manager/Manager  Regional HRBP,"('Ability to prioritize', 'Building connect with stakeholders', 'Business HR Partnering', 'Capability Building', 'HR processes', 'Identifying key deliverables in the areas of recruitment  capability building  engagement', 'bring structure into work', 'driving the same')"
Senior Technical Product Manager,"('Agile teams', 'AndroidIos', 'Angular JS', 'AngularJSNodeJS', 'English communication', 'Enterprise Products', 'MBA', 'Mean stack', 'NET', 'NOSQL DB', 'RDBMS', 'Software Engineer', 'Technical Product Manager', 'VoIP', 'Web RTC', 'Web technologies', 'agile software development', 'communication', 'competitive analysis', 'documentation', 'market research', 'mobile applications', 'mockups', 'product design', 'product owner', 'product roadmap', 'prototyping', 'technical architecture', 'tutorials', 'user experience', 'user guides', 'user interfaces', 'user stories', 'web', 'web services', 'wireframes')"
Showroom Manager - Lavish Gifts and Furniture showrooms at Delhi and Bangalore,"('furniture sales', 'gift item sales', 'showroom management', 'showroom process automation', 'showroom sales')"
Site Safety Officer,"('Fire Safety', 'HSE', 'Industrial Safety', 'Safety Engineering', 'Safety Management', 'Safety Officer Activities', 'auto verticals', 'ce', 'finance', 'food labelling', 'food microbiology', 'food preparation', 'food quality', 'food safety', 'food technology', 'safety', 'safety engineering', 'safety officer activities', 'used cv')"
Sr Manager- Corporate Secretarial,"('Alteration of memorandum', 'Change of name', 'Change of registered office', 'Communication', 'Companies Act', 'Compliance', 'Corporate Secretarial', 'ESOPs', 'Global compliances', 'Incorporation of companies', 'Interpersonal skills', 'Legislation', 'MA', 'Regulatory environment', 'Regulatory filings', 'Related Party Transactions', 'SEBI Listing Regulations', 'Stock Options', 'Team player', 'articles of association')"
Sr Relationship Manager (Health Insurance),"('agency channel', 'agency sales', 'agent recruitment', 'general insurance', 'health insurance')"
Sr. Manager - Franchisee Sales & Operations Management,"('Auditor requirements', 'Business problem solving', 'Engineer', 'Engineering', 'Operations Manager', 'Order Processing', 'PreSales', 'Sales Management', 'Sales Operations', 'compliance')"
Store Keeper / Store Manager / Store Incharge,"('Construction', 'Construction Site Inspection', 'Equipment Cleaning', 'Interior Fitout', 'Issue Resolution', 'Receipt Management', 'Stock Management', 'Supply Management', 'Tool Management')"
Store manager,"('English', 'Telugu', 'analytical thinking', 'assistant store manager', 'bachelors degree', 'communication', 'construction management', 'customer satisfaction', 'customer service', 'decision making', 'detail-oriented', 'interpersonal skills', 'inventory management', 'leadership', 'mathematics', 'organizational skills', 'proactive', 'retail industry', 'retail loss prevention', 'store in change', 'store management', 'store operations', 'store organization', 'team handling', 'team management')"
Storekeeper / Warehouse Manager,"('distribution center operations', 'food packaging', 'packaging development', 'warehouse management')"
"TCTS is hiring for Manager-MySQL, DBA- Pune","('Linux', 'MSSQL', 'MongoDB', 'MySQL')"
TERRITORY SALES MANAGER PALAKKAD,"('analytical mindset', 'customer experience', 'digital transformation', 'entrepreneurship', 'innovation', 'leadership', 'problemsolving', 'risktaking', 'telco industry', 'territory sales management')"
Team Leader - Senior Sales Manager - HL - LAP,"('affordable housing', 'business loan', 'field sales', 'hl', 'home loans', 'housing finance', 'insurance sales', 'lap', 'loan sales', 'officer', 'personal loans', 'relationship', 'sales')"
Territory Sales Manager,"('Conference organization', 'Gynae', 'Market review', 'Monitoring', 'Ortho', 'Pharma market knowledge', 'Regional Business Manager', 'Relationship management', 'Sales analysis', 'Team building', 'anti-aging products', 'beauty industry', 'business development', 'channel development management', 'cosmetics', 'direct sales', 'fmcg channel sales', 'fmcg marketing', 'manager', 'marketing', 'sales', 'secondary sales', 'skin care products', 'territory', 'territory management', 'territory sales', 'territory sales management')"
Territory's Manager(Bancassurance Team Handling),"('bancassurance sales', 'cm', 'csm', 'insurance', 'life insurance', 'team handling')"
UNIT MANAGER - INVESTMENT,"('FINANCE', 'SALES  MARKETING')"
Urgent Requirement Agency Manager For Health Insurance salary upto-5Lac,"('agency development manager', 'area sales manager', 'development manager', 'general insurance', 'health insurance', 'insurance', 'life insurance', 'sales', 'sales development manager', 'sales manager', 'unit manager')"
Urgent opening for Marketing Manager,"('campaign management', 'content marketing', 'corporate learning', 'digital solutions', 'edtech', 'educational publishing', 'marketing manager')"
"Urgent | opening Relationship Managers for Customer Care- Ghatkoper,Mumbai","('customer care', 'customer relationship', 'relationship manager')"
Urgently Hiring Safety Officer  Fmcg Company,"('excellent interpersonal skills', 'health safety environment practices', 'leadership', 'operations analysis monitoring.', 'safety regulations procedures')"
WANTED SALES AND RELATIONSHIP MANAGER FOR LIFE INSURANCE,"('branch sales', 'business development', 'direct marketing', 'direct sales', 'insurance', 'insurance sales', 'marketing', 'sales')"
Webmethods  Senior_ Project Manager,"('agile scrum', 'bamboo', 'bitbucket', 'jenkins', 'project manager', 'webmethods')"
"hiring hr and marketing,sales it,Bdm ,it sales manager fresher,exp","('bdm', 'business development', 'counselor education', 'event management', 'hr', 'marketing', 'sales', 'tele sales', 'telecalling', 'telemarketing')"
sales officer - Credit cards,"('credit card sales', 'credit cards', 'sales executive', 'sales officer')"
